,response,is_strange,workerid,proliferate.condition,order,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,MatrixNegPresent,EmbeddedNegPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixNegation,MatrixDoSupport,MatrixPred1,MatrixPred2,MatVerbPart,Modal,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
134,a,False,11,condition1,a-the-all-some,17,102105:4,[],23.0,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,,"how do you usually find a, a new restaurant *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,usually,find,,a,,no,yes,,(WRB How),"how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
135,dfg,Barbara,3,condition1,,1,bot_check,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,barbara,Barbara,3,condition1,,1,bot_check,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,all,False,3,condition1,all-some-a-the,3,example1,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,a,False,3,condition1,all-some-a-the,4,example2,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,all,False,3,condition1,all-some-a-the,5,example1,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,a,False,3,condition1,all-some-a-the,6,example4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,some,False,3,condition1,all-some-a-the,8,40349:14,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"you know, how can you help *-1 depending on the day care center *t*-2, you know,",no,,yes,root,no,yes,,,,,,how,,,,,,can,,help,depending,know,,the day care center,,no,no,,(WRB how),"you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))",monomorphemic,no
142,all,True,3,condition1,all-some-a-the,9,37508:7,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,well how do you think 0 the royals are going *-1 to do *t*-2?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,think,are,the royals,the royals,,no,no,,(WRB how),well how do you think 0 the royals are going *-1 to do *t*-2?,(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S))),monomorphemic,no
143,a,False,3,condition1,all-some-a-the,10,60430:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,who *t*-1 knows.,no,yes,no,root,no,yes,,,,,,who,,,,,,,,knows,,,,,,no,,,(WP who),who *t*-1 knows.,(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S))),monomorphemic,no
144,all,False,3,condition1,all-some-a-the,11,51293:9,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"uh, who's the last one *t*-1.",no,yes,no,root,no,yes,,,,one,,who,,,,,,,,'s,last,,the last one,,,yes,,,(WP who),"uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))",monomorphemic,no
145,a,False,3,condition1,all-some-a-the,12,68569:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,where do you go *t*-1?,no,yes,no,root,no,yes,,,,,,where,,,,,,,,do,go,,,,,no,,,(WRB Where),where do you go *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
146,the,False,3,condition1,all-some-a-the,13,102105:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"how do you usually find a, a new restaurant *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,usually,find,,a,,no,yes,,(WRB How),"how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
147,the,False,3,condition1,all-some-a-the,14,103191:13,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,",no,,yes,root,no,yes,,,,,,who,,,,,,will,,knows,hold,as,the future,the future,,no,no,,(WP who),"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
148,the,False,3,condition1,all-some-a-the,15,61578:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,how are your kids handling it *t*-1?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,are,handling,,,,,no,no,,(WRB How),how are your kids handling it *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
149,all,False,3,condition1,all-some-a-the,16,118088:9,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"uh, how do you feel about taxes *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,feel,,,,,no,no,,(WRB how),"uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
150,some,False,3,condition1,all-some-a-the,17,130644:22,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.745916666666667,,"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.",no,yes,no,root,no,yes,,,,,gone,where,,,,,,,,have,gone,,,,,no,,,(WRB where),"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","(TOP (SBARQ (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (X (XX g-)) (, ,) (IP (-DFL- \+))) (WHADVP-1 (WHADVP (WRB where)) (SBAR (-NONE- *ICH*-3))) (SQ (VBP have) (NP-SBJ (PRP I)) (VP (VBN gone) (ADVP-DIR (-NONE- *T*-1)))) (RS (-DFL- \])) (SBAR-3 (WHNP-2 (DT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (ADVP-LOC-PRD (RB anywhere))))) (. .) (-DFL- E_S)))",monomorphemic,no
151,Linda,Linda,27,condition1,,1,bot_check,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,all,False,27,condition1,all-the-some-a,3,example1,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,a,False,27,condition1,all-the-some-a,4,example2,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,all,False,27,condition1,all-the-some-a,5,example1,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,the,False,27,condition1,all-the-some-a,6,example4,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,a,False,27,condition1,all-the-some-a,8,68569:4,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,where do you go *t*-1?,no,yes,no,root,no,yes,,,,,,where,,,,,,,,do,go,,,,,no,,,(WRB Where),where do you go *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
157,the,False,27,condition1,all-the-some-a,9,37508:7,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,well how do you think 0 the royals are going *-1 to do *t*-2?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,think,are,the royals,the royals,,no,no,,(WRB how),well how do you think 0 the royals are going *-1 to do *t*-2?,(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S))),monomorphemic,no
158,the,False,27,condition1,all-the-some-a,10,118088:9,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"uh, how do you feel about taxes *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,feel,,,,,no,no,,(WRB how),"uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
159,the,False,27,condition1,all-the-some-a,11,51293:9,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"uh, who's the last one *t*-1.",no,yes,no,root,no,yes,,,,one,,who,,,,,,,,'s,last,,the last one,,,yes,,,(WP who),"uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))",monomorphemic,no
160,a,False,27,condition1,all-the-some-a,12,130644:22,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.",no,yes,no,root,no,yes,,,,,gone,where,,,,,,,,have,gone,,,,,no,,,(WRB where),"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","(TOP (SBARQ (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (X (XX g-)) (, ,) (IP (-DFL- \+))) (WHADVP-1 (WHADVP (WRB where)) (SBAR (-NONE- *ICH*-3))) (SQ (VBP have) (NP-SBJ (PRP I)) (VP (VBN gone) (ADVP-DIR (-NONE- *T*-1)))) (RS (-DFL- \])) (SBAR-3 (WHNP-2 (DT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (ADVP-LOC-PRD (RB anywhere))))) (. .) (-DFL- E_S)))",monomorphemic,no
161,the,False,27,condition1,all-the-some-a,13,61578:4,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,how are your kids handling it *t*-1?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,are,handling,,,,,no,no,,(WRB How),how are your kids handling it *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
162,all,False,27,condition1,all-the-some-a,14,103191:13,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,",no,,yes,root,no,yes,,,,,,who,,,,,,will,,knows,hold,as,the future,the future,,no,no,,(WP who),"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
163,some,False,27,condition1,all-the-some-a,15,60430:4,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,who *t*-1 knows.,no,yes,no,root,no,yes,,,,,,who,,,,,,,,knows,,,,,,no,,,(WP who),who *t*-1 knows.,(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S))),monomorphemic,no
164,the,False,27,condition1,all-the-some-a,16,102105:4,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"how do you usually find a, a new restaurant *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,usually,find,,a,,no,yes,,(WRB How),"how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
165,the,False,27,condition1,all-the-some-a,17,40349:14,[],28.0,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,,"you know, how can you help *-1 depending on the day care center *t*-2, you know,",no,,yes,root,no,yes,,,,,,how,,,,,,can,,help,depending,know,,the day care center,,no,no,,(WRB how),"you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))",monomorphemic,no
166,Jessica,Jessica,6,condition1,,1,bot_check,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,a,False,6,condition1,a-the-all-some,3,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,a,False,6,condition1,a-the-all-some,3,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,a,False,6,condition1,a-the-all-some,3,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,a,False,6,condition1,a-the-all-some,3,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,all,False,6,condition1,a-the-all-some,3,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,some,False,6,condition1,a-the-all-some,4,example2,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,all,False,6,condition1,a-the-all-some,5,example1,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,the,False,6,condition1,a-the-all-some,6,example4,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,some,False,6,condition1,a-the-all-some,8,40349:14,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"you know, how can you help *-1 depending on the day care center *t*-2, you know,",no,,yes,root,no,yes,,,,,,how,,,,,,can,,help,depending,know,,the day care center,,no,no,,(WRB how),"you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))",monomorphemic,no
176,a,False,6,condition1,a-the-all-some,9,60430:4,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,who *t*-1 knows.,no,yes,no,root,no,yes,,,,,,who,,,,,,,,knows,,,,,,no,,,(WP who),who *t*-1 knows.,(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S))),monomorphemic,no
177,the,False,6,condition1,a-the-all-some,10,51293:9,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"uh, who's the last one *t*-1.",no,yes,no,root,no,yes,,,,one,,who,,,,,,,,'s,last,,the last one,,,yes,,,(WP who),"uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))",monomorphemic,no
178,the,False,6,condition1,a-the-all-some,11,61578:4,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,how are your kids handling it *t*-1?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,are,handling,,,,,no,no,,(WRB How),how are your kids handling it *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
179,the,False,6,condition1,a-the-all-some,12,68569:4,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,where do you go *t*-1?,no,yes,no,root,no,yes,,,,,,where,,,,,,,,do,go,,,,,no,,,(WRB Where),where do you go *t*-1?,(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))),monomorphemic,no
180,some,False,6,condition1,a-the-all-some,13,37508:7,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,well how do you think 0 the royals are going *-1 to do *t*-2?,no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,think,are,the royals,the royals,,no,no,,(WRB how),well how do you think 0 the royals are going *-1 to do *t*-2?,(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S))),monomorphemic,no
181,some,False,6,condition1,a-the-all-some,14,103191:13,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,",no,,yes,root,no,yes,,,,,,who,,,,,,will,,knows,hold,as,the future,the future,,no,no,,(WP who),"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
182,the,False,6,condition1,a-the-all-some,15,118088:9,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"uh, how do you feel about taxes *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,feel,,,,,no,no,,(WRB how),"uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
183,some,False,6,condition1,a-the-all-some,16,130644:22,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.",no,yes,no,root,no,yes,,,,,gone,where,,,,,,,,have,gone,,,,,no,,,(WRB where),"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","(TOP (SBARQ (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (X (XX g-)) (, ,) (IP (-DFL- \+))) (WHADVP-1 (WHADVP (WRB where)) (SBAR (-NONE- *ICH*-3))) (SQ (VBP have) (NP-SBJ (PRP I)) (VP (VBN gone) (ADVP-DIR (-NONE- *T*-1)))) (RS (-DFL- \])) (SBAR-3 (WHNP-2 (DT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (ADVP-LOC-PRD (RB anywhere))))) (. .) (-DFL- E_S)))",monomorphemic,no
184,some,False,6,condition1,a-the-all-some,17,102105:4,[],18.0,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.23971666666667,,"how do you usually find a, a new restaurant *t*-1?",no,yes,no,root,no,yes,,,,,,how,,,,,,,,do,usually,find,,a,,no,yes,,(WRB How),"how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))",monomorphemic,no
185,Barbara,Barbara,9,condition1,,1,bot_check,[],20.0,Yes,,2,1,1,Male,English,Chrome,Windows,1440,2560,5.01558333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
