Item_ID,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,WhAdvP,MatrixNegPresent,EmbeddedNegPresent,SbarNomPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixSubject,MatrixNegation,InvertedAuxVerb,MatrixPredAux,MatrixPredVerb,MatrixPredOther,MatrixPredParticle,MatrixPred2,Modal,EmbeddedSubject,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,JustMatrixClause,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
59082:52,"and, if i'd of probably had three or four children, i don't see how *t*-2 we could have made it, you know, without me working *t*-1.",no,,yes,embedded,no,,,yes,yes,,,,,how,i,n't,,do,see,,,,could,we,,have,made,know,,,,"and, if i'd of probably had three or four children, i don't see how *t*-2 we could have made it, you know, without me working *t*-1.",no,no,,(WRB how),"how *t*-2 we could have made it, you know, without me working *t*-1","(TOP (S (CC and) (, ,) (SBAR-ADV-TPC-2 (IN if) (S (NP-SBJ (PRP I)) (VP (MD 'd) (VP (TYPO (^VB of)) (ADVP (RB probably)) (VP (VBD had) (NP (QP (CD three) (CC or) (CD four)) (NNS children))))))) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (SBAR (WHADVP-1 (WRB how)) (S (SBAR-ADV (-NONE- *T*-2)) (NP-SBJ (PRP we)) (VP (MD could) (VP (VB have) (VP (VBN made) (NP (PRP it)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PP (IN without) (S-NOM (NP-SBJ (PRP me)) (VP (VBG working)))) (ADVP-MNR (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
132062:11,i know where you mean *t*-1.,no,yes,no,embedded,no,,,yes,,,,,,where,i,,,,know,,,,,you,,mean,,,,,,i know where you mean *t*-1.,no,no,,(WRB where),where you mean *t*-1,(TOP (S (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP mean) (FRAG (ADVP-LOC (-NONE- *T*-1))))))) (. .) (-DFL- E_S))),monomorphemic,no
31019:97,"and they just change the title and, uh, and reshot a few parts, you know, where they, yeah, you know, where they could *?* *t*-1.",no,,yes,embedded,no,,,yes,,,,,,where,they,,,,reshot,,,,could,they,,,,,,,,"and they just change the title and, uh, and reshot a few parts, you know, where they, yeah, you know, where they could *?* *t*-1.",no,no,,(WRB where),"where they, yeah, you know, where they could *?* *t*-1","(TOP (S (CC and) (NP-SBJ (PRP they)) (ADVP (RB just)) (VP (VP (VBP change) (NP (DT the) (NN title))) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (CC and) (RS (-DFL- \])) (VP (VBP reshot) (NP (DT a) (JJ few) (NNS parts)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-ADV (EDITED (RM (-DFL- \[)) (SBAR (WHADVP (WRB where)) (S-UNF (NP-SBJ (PRP they)))) (, ,) (IP (-DFL- \+))) (INTJ (UH yeah)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (MD could) (VP (-NONE- *?*) (ADVP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))",monomorphemic,no
139387:11,* wonder what *t*-1 happens to this little beastie on call waiting or something.,no,yes,no,embedded,no,,,,,,,,call,what,*,,,,wonder,,,,,*t*-1,,happens,little,waiting,,this little beastie,,* wonder what *t*-1 happens to this little beastie on call waiting or something.,no,no,,(WP what),what *t*-1 happens to this little beastie on call waiting or something,(TOP (S (NP-SBJ (-NONE- *)) (VP (VB Wonder) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ happens) (PP (TO to) (NP (DT this) (JJ little) (NN beastie))) (PP (IN on) (NP (NP (NN call) (VBG waiting)) (CC or) (NP (NN something)))))))) (. .) (-DFL- E_S))),monomorphemic,no
98671:43,"but, uh, somebody did it, just for your train of thought where they, they showed something *t*-1",no,yes,no,embedded,no,,,yes,,,,,something,where,somebody,,,,did,,,,,they,,showed,,,,,,"but, uh, somebody did it, just for your train of thought where they, they showed something *t*-1",no,no,,(WRB where),"where they, they showed something *t*-1","(TOP (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (NN somebody)) (VP (VBD did) (NP (PRP it)) (, ,) (PP (ADVP (RB just)) (IN for) (NP (NP (PRP$ your) (NN train)) (PP (IN of) (NP (NN thought))))) (SBAR-ADV (WHADVP-1 (WRB where)) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (VBD showed) (NP (NN something)) (ADVP (-NONE- *T*-1)))))) (-DFL- E_S)))",monomorphemic,no
12156:37,"other than that i'm not sure what, what individuals can do *t*-1 other than like i said *-2 get involved *-3 through a group or an organization.",no,,yes,embedded,no,,,,yes,,,,,what,i,not,,,,sure,,,can,individuals,,do,other,said,,a group or an organization,what,"other than that i'm not sure what, what individuals can do *t*-1 other than like i said *-2 get involved *-3 through a group or an organization.",no,no,,(WP what),"what, what individuals can do *t*-1 other than like i said *-2 get involved *-3 through a group or an organization","(TOP (S (ADVP (RB Other) (PP (IN than) (NP (DT that)))) (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ sure) (SBAR (EDITED (RM (-DFL- \[)) (WHNP (WP what)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP what)) (RS (-DFL- \])) (S (NP-SBJ-2 (NNS individuals)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-1)) (ADVP (RB other) (SBAR (IN than) (SBAR-ADV (IN like) (S (NP-SBJ (PRP I)) (VP (VBD said)))) (S (NP-SBJ-3 (-NONE- *-2)) (VP (VB get) (VP (VBN involved) (NP (-NONE- *-3)) (PP (IN through) (NP (NP (DT a) (NN group)) (CC or) (NP (DT an) (NN organization))))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
100193:19,"i just don't understand why they, so much want *-1 to just stay in that building *t*-2.",no,yes,no,embedded,no,,,yes,yes,,,,,why,i,n't,,do,understand,,,,,they,,want,just,stay,,that building,,"i just don't understand why they, so much want *-1 to just stay in that building *t*-2.",no,no,,(WRB why),"why they, so much want *-1 to just stay in that building *t*-2","(TOP (S (NP-SBJ (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB understand) (SBAR (WHADVP-2 (WRB why)) (S (NP-SBJ-1 (PRP they)) (, ,) (ADVP (RB so) (RB much)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (ADVP (RB just)) (VP (VB stay) (PP-LOC (IN in) (NP (DT that) (NN building))) (ADVP-PRP (-NONE- *T*-2)))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
146842:67,"and, uh, i just look at it, 0 i don't want my grandchildren looking at me and saying why didn't you do something *t*-1.",no,yes,no,embedded,no,yes,,yes,yes,yes,,,something,why,my grandchildren,n't,,do,saying,,,,,you,n't,did,n't,do,,,,my grandchildren looking at me and saying why didn't you do something *t*-1,no,no,,(WRB why),why didn't you do something *t*-1,"(TOP (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (ADVP (RB just)) (VP (VBP look) (PP (IN at) (NP (PRP it))) (, ,) (SBAR-MNR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (NP-SBJ (PRP$ my) (NNS grandchildren)) (VP (VP (VBG looking) (PP (IN at) (NP (PRP me)))) (CC and) (VP (VBG saying) (SBARQ-SEZ (WHADVP-1 (WRB why)) (SQ (VBD did) (RB n't) (NP-SBJ (PRP you)) (VP (VB do) (NP (NN something)) (ADVP-PRP (-NONE- *T*-1))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
177290:100,"so there's, uh, there's a lot 0 *t*-1 to be said *-4 for * having a steady stream of people who *t*-2 know how it is *t*-3 someplace else coming in.",no,yes,no,embedded,no,,,yes,,,,,someplace,how,*t*-2,,,'s,know,,,,,it,,is,someplace,else,,,how,*t*-2 know how it is *t*-3 someplace else,no,no,,(WRB how),how it is *t*-3 someplace else,"(TOP (S (RB So) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (EX there)) (VP-UNF (BES 's))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (EX there)) (VP (BES 's) (RS (-DFL- \])) (NP-PRD (NP (DT a) (NN lot)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ-4 (-NONE- *T*-1)) (VP (TO to) (VP (VB be) (VP (VBN said) (NP (-NONE- *-4)) (PP (IN for) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG having) (S (NP-SBJ (NP (DT a) (JJ steady) (NN stream)) (PP (IN of) (NP (NP (NNS people)) (SBAR (WHNP-2 (WP who)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBP know) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (PRP it)) (VP (VBZ is) (ADVP-MNR-PRD (-NONE- *T*-3)) (NP-LOC (NP (RB someplace)) (ADVP (RB else)))))))))))) (VP (VBG coming) (ADVP-DIR (RB in)))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
104062:11,i wonder where they dump that *t*-1.,no,yes,no,embedded,no,,,yes,,,,,,where,i,,,,wonder,,,,,they,,dump,,,,that,,i wonder where they dump that *t*-1.,no,no,,(WRB where),where they dump that *t*-1,(TOP (S (NP-SBJ (PRP I)) (VP (VBP wonder) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP they)) (VP (VBP dump) (NP (DT that)) (ADVP-LOC (-NONE- *T*-1)))))) (. .) (-DFL- E_S))),monomorphemic,no
166504:44,"well, i can see, i can see definitely how you get into that *t*-1.",no,yes,no,embedded,no,,,yes,,,,,,how,i,,,can,see,,,,,you,,get,,,,that,,"well, i can see, i can see definitely how you get into that *t*-1.",no,no,,(WRB how),how you get into that *t*-1,"(TOP (S (INTJ (UH Well)) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP (MD can) (VP-UNF (VB see)))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (MD can) (VP (VB see) (RS (-DFL- \])) (ADVP (RB definitely)) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP get) (PP (IN into) (NP (DT that))) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
13670:104,"so, i, i don't, i, i guess 0 we'll have *-1 to see another generation *-2 to see what differences a child being brought *t*-3 up, you know, in a, uh, kind of a, uh, community, rather than a home.",no,yes,no,embedded,no,,,,yes,,,,,what,*-2,another,,'ll,see,,,,,,,being,brought,know,,a child,,"*-2 to see what differences a child being brought *t*-3 up, you know, in a, uh, kind of a, uh, community, rather than a home",no,no,,(WP what),"what differences a child being brought *t*-3 up, you know, in a, uh, kind of a, uh, community, rather than a home","(TOP (S (RB So) (, ,) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (S (NP-SBJ (PRP I)) (VP-UNF (VBP do) (RB n't))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP guess) (RS (-DFL- \])) (SBAR (-NONE- 0) (S (NP-SBJ-1 (PRP we)) (VP (MD 'll) (VP (VB have) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (VP (VB see) (NP (DT another) (NN generation))))) (S-PRP (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what) (NNS differences)) (S-UNF (S-NOM-SBJ (NP-TPC-3 (DT a) (NN child)) (VP (VBG being) (VP (VBN brought) (NP (-NONE- *T*-3)) (PRT (RP up)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PP-LOC (IN in) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (ADVP (RB kind) (RB of)) (NP (NP (DT a) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (, ,) (NN community)) (, ,) (CONJP (IN rather) (IN than)) (NP (DT a) (NN home))))))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
136875:21,"you're kind of like, what are you talking about *t*-1",no,yes,no,embedded,no,yes,,,,,,,,what,you,,,'re,,,,,,you,,are,talking,,,,,"you're kind of like, what are you talking about *t*-1",no,no,,(WP what),what are you talking about *t*-1,"(TOP (S (NP-SBJ (PRP You)) (VP (VBP 're) (ADVP (RB kind) (RB of)) (INTJ (IN like)) (, ,) (SBARQ-SEZ (WHNP-1 (WP what)) (SQ (VBP are) (NP-SBJ (PRP you)) (VP (VBG talking) (PP (IN about) (NP (-NONE- *T*-1))))))) (-DFL- E_S)))",monomorphemic,no
110313:14,"i can see where you would think,",no,,yes,embedded,no,,,yes,,,,,,where,i,,,can,see,,,,would,you,,think,,,,,,"i can see where you would think,",no,no,,(WRB where),where you would think,"(TOP (S (NP-SBJ (PRP I)) (VP (MD can) (VP (VB see) (SBAR (WHADVP (WRB where)) (S (NP-SBJ (PRP you)) (VP (MD would) (VP-UNF (VB think))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
86958:16,i do not know what it really will take *t*-1.,no,,yes,embedded,no,,,,yes,,,,,what,i,not,,do,know,,,,will,it,,take,,,,,,i do not know what it really will take *t*-1.,no,no,,(WP what),what it really will take *t*-1,(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB not) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (ADVP (RB really)) (VP (MD will) (VP (VB take) (NP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S))),monomorphemic,no
52598:15,"but, i know what you're saying *t*-1, uh,",no,yes,no,embedded,no,,,,,,,,,what,i,,,,know,,,,,you,,'re,saying,,,,,"but, i know what you're saying *t*-1, uh,",no,no,,(WP what),what you're saying *t*-1,"(TOP (S (CC but) (, ,) (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG saying) (NP (-NONE- *T*-1)))))) (, ,) (INTJ (UH uh))) (, ,) (-DFL- E_S)))",monomorphemic,no
56148:56,"so um, you know, i, i wonder sometimes if he knows what he's doing *t*-1.",no,yes,no,embedded,no,,,,,,,,,what,he,,,,knows,,,,,he,,'s,doing,,,,,he knows what he's doing *t*-1,no,no,,(WP what),what he's doing *t*-1,"(TOP (S (RB so) (INTJ (UH um)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP wonder) (ADVP-TMP (RB sometimes)) (SBAR (IN if) (S (NP-SBJ (PRP he)) (VP (VBZ knows) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP he)) (VP (BES 's) (VP (VBG doing) (NP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
97332:39,"we are just going *-1 to have, *-2 to see how things work out *t*-3.",no,yes,no,embedded,no,,,yes,,,,,,how,*-2,,,are,see,,,,,things,,work,,,,,,*-2 to see how things work out *t*-3,no,no,,(WRB how),how things work out *t*-3,"(TOP (S (NP-SBJ-1 (PRP We)) (VP (VBP are) (ADVP (RB just)) (VP (VBG going) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (VP (VB have) (, ,) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB see) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (NNS things)) (VP (VBP work) (PRT (RP out)) (ADVP-MNR (-NONE- *T*-3))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
28461:59,so i ended up *-1 taking on the load of *-2 making * sure 0 everybody knows what they're doing *t*-3,no,yes,no,embedded,no,,,,,,,,,what,everybody,,,,knows,,,,,they,,'re,doing,,,,what,everybody knows what they're doing *t*-3,no,no,,(WP what),what they're doing *t*-3,(TOP (S (RB so) (NP-SBJ-1 (PRP I)) (VP (VBD ended) (PRT (RP up)) (S (NP-SBJ-2 (-NONE- *-1)) (VP (VBG taking) (PRT (RP on)) (NP (NP (DT the) (NN load)) (PP (IN of) (S-NOM (NP-SBJ (-NONE- *-2)) (VP (VBG making) (S (NP-SBJ (-NONE- *)) (ADJP-PRD (JJ sure) (SBAR (-NONE- 0) (S (NP-SBJ (NN everybody)) (VP (VBZ knows) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP 're) (VP (VBG doing) (NP (-NONE- *T*-3)))))))))))))))))) (-DFL- E_S))),monomorphemic,no
37899:25,"and * think what, what's it going *-1 to be like *t*-2 for my, my youngest, an my oldest son, when he goes to school *t*-3.",no,yes,no,embedded,no,yes,,,,,,,,what,*,,,,think,,,,,it,,'s,going,be,,,,"and * think what, what's it going *-1 to be like *t*-2 for my, my youngest, an my oldest son, when he goes to school *t*-3.",no,no,,(WP what),"what, what's it going *-1 to be like *t*-2 for my, my youngest, an my oldest son, when he goes to school *t*-3","(TOP (S-IMP (CC and) (NP-SBJ (-NONE- *)) (VP (VBP think) (SBARQ (EDITED (RM (-DFL- \[)) (WHNP (WP what)) (, ,) (IP (-DFL- \+))) (WHNP-2 (WP what)) (SQ (BES 's) (RS (-DFL- \])) (NP-SBJ-1 (PRP it)) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (PP-PRD (IN like) (NP (-NONE- *T*-2))) (PP (IN for) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-UNF (PRP$ my)) (, ,) (IP (-DFL- \+))) (NP-UNF (PRP$ my) (JJS youngest)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (EDITED (RM (-DFL- \[)) (^CC an) (IP (-DFL- \+)) (RS (-DFL- \]))) (NP (PRP$ my) (JJS oldest) (RS (-DFL- \])) (NN son))) (, ,) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP he)) (VP (VBZ goes) (PP (IN to) (NP (NN school))) (ADVP-TMP (-NONE- *T*-3)))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
21434:18,"and you always wonder, why they don't, you know, get together or whatever *t*-1.",no,yes,no,embedded,no,,,yes,yes,yes,,,,why,you,n't,,,wonder,,,,,they,n't,do,n't,know,,whatever,,"and you always wonder, why they don't, you know, get together or whatever *t*-1.",no,no,,(WRB why),"why they don't, you know, get together or whatever *t*-1","(TOP (S (CC and) (NP-SBJ (PRP you)) (ADVP-TMP (RB always)) (VP (VBP wonder) (, ,) (SBAR (WHADVP-1 (WRB why)) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VP (VB get) (ADVP (RB together))) (CC or) (NP-ETC (WDT whatever)) (ADVP-PRP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
63378:29,"and then you end up with a decimal, where you start *-1 getting into mils, and that sort of thing *t*-2.",no,yes,no,embedded,no,,,yes,,,,,,where,you,,,,end,,,,,you,,start,getting,,,"mils, and that sort of thing",,"and then you end up with a decimal, where you start *-1 getting into mils, and that sort of thing *t*-2.",no,no,,(WRB where),"where you start *-1 getting into mils, and that sort of thing *t*-2","(TOP (S (CONJP (CC And) (RB then)) (NP-SBJ (PRP you)) (VP (VBP end) (PRT (RP up)) (PP (IN with) (NP (DT a) (NN decimal))) (, ,) (SBAR-ADV (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP you)) (VP (VBP start) (S (NP-SBJ (-NONE- *-1)) (VP (VBG getting) (PP (IN into) (NP (NP (NNS mils)) (, ,) (CC and) (NP (NP (DT that) (NN sort)) (PP (IN of) (NP (NN thing)))))) (ADVP (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))",monomorphemic,no
147597:18,but they wouldn't know what they're doing *t*-1.,no,yes,no,embedded,no,,,,yes,,,,,what,they,n't,,would,know,,,,,they,,'re,doing,,,,,but they wouldn't know what they're doing *t*-1.,no,no,,(WP what),what they're doing *t*-1,(TOP (S (CC But) (NP-SBJ (PRP they)) (VP (MD would) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP 're) (VP (VBG doing) (NP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S))),monomorphemic,no
55650:18,so i'm very limited what i do *t*-1.,no,yes,no,embedded,no,,,,,,,,,what,i,,,'m,,,,,,i,,do,,,,,,so i'm very limited what i do *t*-1.,no,no,,(WP what),what i do *t*-1,(TOP (S (RB so) (NP-SBJ (PRP I)) (VP (VBP 'm) (ADJP-PRD (RB very) (JJ limited)) (SBAR-ADV (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP do) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S))),monomorphemic,no
127857:21,"well, i don't see how he couldn't be, *?* *t*-1 you know.",no,,yes,embedded,no,,,yes,yes,,,,,how,i,n't,,do,see,,,,could,he,,be,,,,,,"well, i don't see how he couldn't be, *?* *t*-1 you know.",no,no,,(WRB how),"how he couldn't be, *?* *t*-1","(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP he)) (VP (MD could) (RB n't) (VP (VB be) (, ,) (ADJP-PRD (-NONE- *?*)) (ADVP-MNR (-NONE- *T*-1)))))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))",monomorphemic,no
40750:40,"so stuff like that *ich*-3 is starting *-1 to come along where it's really, getting fun *t*-2, you know.",no,yes,no,embedded,no,,,yes,,,,,really,where,stuff like that *ich*-3,,,is,starting,,,,,it,,'s,really,getting,,,,"so stuff like that *ich*-3 is starting *-1 to come along where it's really, getting fun *t*-2, you know.",no,no,,(WRB where),"where it's really, getting fun *t*-2","(TOP (S (RB so) (NP-SBJ-1 (NP (NP (NN stuff)) (PP (IN like) (NP (DT that)))) (SBAR (-NONE- *ICH*-3))) (VP (VBZ is) (VP (VBG starting) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB come) (ADVP (RP along))))) (SBAR-3 (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP it)) (VP (BES 's) (ADVP (RB really)) (, ,) (VP (VBG getting) (ADJP-PRD (JJ fun)) (ADVP-LOC (-NONE- *T*-2)))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- N_S)))",monomorphemic,no
61922:55,"and and it puts me right up-to-date what i'm, what i have *-1 to do *t*-2, what i have *-3 to ship *t*-4, what i should be expecting *t*-5 to be returned *-7.",yes,yes,no,embedded,no,,,,,,,,,what,it,,,,,up-to-date,,,,i,,have,do,,,,what,"and and it puts me right up-to-date what i'm, what i have *-1 to do *t*-2, what i have *-3 to ship *t*-4, what i should be expecting *t*-5 to be returned *-7.",no,no,,(WP what),"what i'm, what i have *-1 to do *t*-2","(TOP (S (EDITED (RM (-DFL- \[)) (CC and) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (NP-SBJ (PRP it)) (VP (VBZ puts) (S (NP-SBJ (PRP me)) (ADJP-PRD (ADVP (RB right)) (JJ up-to-date) (SBAR-ADV (EDITED (RM (-DFL- \[)) (SBAR (WHNP (WP what)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP 'm)))) (, ,) (IP (-DFL- \+))) (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP I)) (VP (VBP have) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-2)))))))) (, ,) (RS (-DFL- \])) (SBAR-ADV (WHNP-4 (WP what)) (S (NP-SBJ-3 (PRP I)) (VP (VBP have) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (VP (VB ship) (NP (-NONE- *T*-4)))))))) (, ,) (SBAR-ADV (WHNP-5 (WP what)) (S (NP-SBJ (PRP I)) (VP (MD should) (VP (VB be) (VP (VBG expecting) (S (NP-SBJ-7 (-NONE- *T*-5)) (VP (TO to) (VP (VB be) (VP (VBN returned) (NP (-NONE- *-7)))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
40149:29,"i, maybe i misunderstood what they meant *t*-1.",no,yes,no,embedded,no,,,,,,,,,what,i,,,misunderstood,,,,,,they,,meant,,,,,,"i, maybe i misunderstood what they meant *t*-1.",no,no,,(WP what),what they meant *t*-1,"(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (ADVP (RB maybe)) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD misunderstood) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBD meant) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))",monomorphemic,no
84947:19,i mean you know what it's like *t*-1 here.,no,yes,no,embedded,no,,,,,,,,,what,you,,,,know,,,,,it,,'s,here,,,,,i mean you know what it's like *t*-1 here.,no,no,,(WP what),what it's like *t*-1 here,(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (NP-SBJ (PRP you)) (VP (VBP know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (VP (BES 's) (PP-PRD (IN like) (NP (-NONE- *T*-1))) (ADVP-LOC (RB here)))))) (. .) (-DFL- N_S))),monomorphemic,no
126139:53,"and i don't think 0 they're going *-1 to call me and ask me how it's functioning *t*-2,",no,yes,no,embedded,no,yes,,yes,yes,,,,,how,*-1,n't,,'re,ask,,,,,it,,'s,functioning,,,,,they're going *-1 to call me and ask me how it's functioning *t*-2,no,no,,(WRB how),how it's functioning *t*-2,"(TOP (S (CC And) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (PRP they)) (VP (VBP 're) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VP (VB call) (NP (PRP me))) (CC and) (VP (VB ask) (NP (PRP me)) (SBARQ (WHADVP-2 (WRB how)) (SQ (NP-SBJ (PRP it)) (VP (BES 's) (VP (VBG functioning) (ADVP-MNR (-NONE- *T*-2)))))))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
